[[134.0, 20.2], [-0.3, 0.9], [0.4, 1.6]]
[[143.5, 18.9], [-0.4, 0.9], [0.4, 1.6]]
[[136.0, 18.8], [-0.3, 0.9], [0.4, 1.7]]
[[135.6, 19.4], [-0.3, 0.9], [0.4, 1.7]]
[[138.6, 17.6], [-0.4, 0.9], [0.4, 1.8]]
[[144.7, 17.0], [-0.4, 0.8], [0.4, 1.8]]
[[148.1, 16.1], [-0.4, 0.8], [0.4, 1.8]]
[[157.7, 15.1], [-0.5, 0.8], [0.4, 1.9]]
[[152.8, 15.0], [-0.5, 0.8], [0.4, 2.0]]
[[153.3, 14.9], [-0.5, 0.8], [0.3, 2.0]]
[[142.0, 15.8], [-0.4, 0.8], [0.4, 2.1]]
[[137.8, 16.9], [-0.4, 0.8], [0.3, 2.1]]
[[138.8, 16.0], [-0.4, 0.8], [0.3, 2.1]]
[[144.1, 14.9], [-0.5, 0.8], [0.3, 2.0]]
[[137.3, 14.7], [-0.4, 0.8], [0.4, 2.1]]
[[136.8, 15.7], [-0.4, 0.8], [0.3, 2.1]]
[[142.1, 14.3], [-0.5, 0.8], [0.3, 2.2]]
[[140.2, 13.4], [-0.5, 0.8], [0.3, 2.2]]
[[151.9, 13.0], [-0.5, 0.8], [0.3, 2.2]]
[[170.6, 12.4], [-0.6, 0.7], [0.4, 2.2]]
[[188.4, 12.0], [-0.7, 0.6], [0.3, 2.3]]
[[205.1, 11.7], [-0.7, 0.6], [0.3, 2.3]]
[[221.5, 11.5], [-0.8, 0.5], [0.3, 2.3]]
[[237.3, 12.0], [-0.9, 0.4], [0.4, 2.2]]
[[268.9, 11.7], [-0.9, 0.2], [0.4, 2.2]]
[[287.6, 9.5], [-0.9, 0.1], [0.4, 2.2]]
[[342.6, 12.3], [-0.9, -0.2], [0.3, 2.2]]
[[379.5, 19.4], [-0.8, -0.4], [0.3, 2.2]]
[[400.3, 20.6], [-0.8, -0.5], [0.3, 2.2]]
[[420.8, 30.9], [-0.7, -0.6], [0.3, 2.2]]
